spec_file	spec_mjd	GMOS_r_fitflux	GMOS_r_fitfluxerr	GMOS_r_inrange	lascumbres_B_fitflux	lascumbres_B_fitfluxerr	lascumbres_B_inrange	lascumbres_I_fitflux	lascumbres_I_fitfluxerr	lascumbres_I_inrange	lascumbres_R_fitflux	lascumbres_R_fitfluxerr	lascumbres_R_inrange	lascumbres_V_fitflux	lascumbres_V_fitfluxerr	lascumbres_V_inrange	lascumbres_g'_fitflux	lascumbres_g'_fitfluxerr	lascumbres_g'_inrange	lascumbres_i'_fitflux	lascumbres_i'_fitfluxerr	lascumbres_i'_inrange	lascumbres_r'_fitflux	lascumbres_r'_fitfluxerr	lascumbres_r'_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012fr/SN2012fr_2012-10-28_20-25-36_SALT_RSS_None.dat	56228.85	0.0	0.0	False	6.399102958417709e-15	9.72313603517271e-16	True	8.261175940914077e-16	4.55898752458381e-17	True	1.1894724411118901e-15	7.111730535118985e-16	True	3.4562726494349685e-15	1.0297443027081503e-15	True	3.707465133151428e-15	1.1989828764834345e-15	True	1.038166188226164e-15	3.0111100084566855e-16	True	2.034080024500282e-15	9.140249659907964e-16	True	3.1597656680332014e-15	3.6304046838354196e-16	True	4.8310013380829305e-16	3.878070732326184e-16	True	2.742387189962166e-17	1.657614227562006e-17	True	1.4746108285324675e-16	1.7586002809028266e-16	True	7.773252650725152e-17	3.946512066712222e-17	True	2.9381587632199368e-15	2.398534177059049e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012fr/SN2012fr_2012-10-30_09-05-18_Lick-3m_KAST_None.dat	56230.38	0.0	0.0	False	1.9223418388077446e-14	2.1465940943904582e-16	True	2.1909900986752613e-15	2.56610851345125e-17	True	5.458607554833414e-15	1.5190882266746023e-16	True	1.0823885022414624e-14	2.0434375383206098e-16	True	1.3391911255279256e-14	1.8312866402658292e-16	True	2.954248355701118e-15	4.857877525117425e-17	True	6.869627728845666e-15	1.474905706073771e-16	True	1.6703488106320563e-14	7.393802352701478e-16	True	7.106504164253906e-15	8.069142231759195e-16	True	7.020460720564173e-17	2.313764319655735e-17	True	1.3952070864795794e-15	4.0163855279634173e-16	True	4.211391331299758e-16	8.200108092080883e-17	True	9.569012698830017e-15	4.1429981656562175e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012fr/SN2012fr_2012-10-30_12-10-57_ANU-2.3m_WiFeS_None.dat	56230.51	0.0	0.0	False	2.0466117378576982e-14	2.8837389155103576e-16	True	2.337147783944027e-15	3.5811020633502285e-17	True	5.915218546357184e-15	1.854122921908615e-16	True	1.1531220555373112e-14	2.483461770632071e-16	True	1.4289995838442355e-14	2.620768180699836e-16	True	3.156381967165994e-15	7.434206943654343e-17	True	7.310279694678147e-15	2.344186320853489e-16	True	1.7906767822542875e-14	7.712071274958101e-16	True	7.785585677649496e-15	8.314696544623385e-16	True	7.555889319090448e-17	2.4169590618501234e-17	True	1.544912573020355e-15	4.1733930860639356e-16	True	4.600430575969413e-16	8.458861797721498e-17	True	1.0169058944595563e-14	4.3036919988846283e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012fr/SN2012fr_2012-11-01_23-50-28_SAAO_G-Spec_None.dat	56232.99	0.0	0.0	False	4.7368029194242577e-14	7.819377982322826e-16	True	5.658745330290853e-15	5.993839658953664e-17	True	1.6047415132957526e-14	2.980457062726447e-16	True	2.6481735089382523e-14	4.842185348835781e-16	True	3.2680044806464574e-14	7.580625442608269e-16	True	7.680248523676648e-15	3.0611346750424577e-16	True	1.600065262420041e-14	6.359699388164769e-16	True	4.158741835141328e-14	6.959661382713358e-16	True	2.6719105060374582e-14	5.560937123236226e-16	True	3.1414107952243225e-16	1.780032297548479e-17	True	7.19505020508929e-15	2.9027475387488414e-16	True	1.813977935666102e-15	5.769328746305923e-17	True	2.2786223350864462e-14	3.477867206414272e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012fr/SN2012fr_2012-11-03_17-21-21_ANU-2.3m_WiFeS_None.dat	56234.72	0.0	0.0	False	6.60012166158576e-14	1.0785298769174053e-15	True	7.607284457483046e-15	1.2617527855543172e-16	True	2.1897181668363503e-14	3.3628581314649005e-16	True	3.6627808285746026e-14	6.434115402863247e-16	True	4.494352293168423e-14	9.46865661422351e-16	True	1.047638468084245e-14	3.277246003194633e-16	True	2.2055064753582867e-14	6.16196742709638e-16	True	5.650667623329784e-14	9.231416790130417e-16	True	4.3577269915178824e-14	8.203808284055314e-16	True	6.343014728033846e-16	3.504354465617837e-17	True	1.352320409812657e-14	3.4466243518696533e-16	True	3.257382117400662e-15	9.667823474244698e-17	True	3.1831711065456986e-14	4.126320956977153e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012fr/SN2012fr_2012-11-04_00-00-00_Lijiang-2.4m_YFOSC_None.dat	56235.0	0.0	0.0	False	6.874143086993228e-14	1.1472724163311018e-15	True	7.861289284901408e-15	1.3436447631232231e-16	True	2.271309043299415e-14	3.623700118530723e-16	True	3.8188986051326016e-14	6.56684349268675e-16	True	4.673160989686476e-14	1.0086672229300335e-15	True	1.0844746666417442e-14	3.3217716612024296e-16	True	2.3008167664556833e-14	6.65315851382737e-16	True	5.865974151100043e-14	9.690619462257655e-16	True	4.6039179890025136e-14	8.454912783949956e-16	True	6.918662997277551e-16	4.037727191447974e-17	True	1.4518051288577292e-14	3.5483167233843713e-16	True	3.4869704422461574e-15	1.0454520809209462e-16	True	3.320987192495051e-14	4.1999702494509027e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012fr/SN2012fr_2012-11-04_11-56-01_ANU-2.3m_WiFeS_None.dat	56235.5	0.0	0.0	False	7.340421751605438e-14	1.2339161447128697e-15	True	8.273346682860759e-15	1.37982965048841e-16	True	2.413400529516369e-14	3.810002125779068e-16	True	4.0913149914512633e-14	6.450456403533665e-16	True	4.974352541933137e-14	1.1181040805630905e-15	True	1.143969337672345e-14	3.402293132046763e-16	True	2.464958936817023e-14	7.526982597658936e-16	True	6.243045814312245e-14	1.0461873623563838e-15	True	5.019504830263253e-14	8.658844308421646e-16	True	7.978369255752954e-16	4.957843833765865e-17	True	1.6232292924055797e-14	3.6072294718738363e-16	True	3.8937571925589245e-15	1.1637951901075478e-16	True	3.563906013904994e-14	4.1864468419729126e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012fr/SN2012fr_2012-11-05_00-00-00_Lijiang-2.4m_YFOSC_None.dat	56236.0	0.0	0.0	False	7.775891836381994e-14	1.2709320583693517e-15	True	8.632348225641283e-15	1.2882695540910565e-16	True	2.554502577055164e-14	3.629368097991554e-16	True	4.3546149092248846e-14	6.054501044256929e-16	True	5.2503997988399254e-14	1.225913628086674e-15	True	1.1952824520924636e-14	3.525936742957966e-16	True	2.6170319820656414e-14	8.248955621450791e-16	True	6.617711388187981e-14	1.1267083398587046e-15	True	5.4019289405461e-14	9.079791474572757e-16	True	9.075172389548523e-16	5.778580330254004e-17	True	1.7842814085043943e-14	3.846527408282475e-16	True	4.2974385498023116e-15	1.2705055028951238e-16	True	3.805037192607211e-14	4.1024129311101394e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012fr/SN_2012fr_2012-11-06_09-11-31_Lick-3m_KAST_UCB-SNDB.flm	56237.38	0.0	0.0	False	8.803445358490323e-14	1.2772658998720954e-15	True	9.360389741203615e-15	7.509181215389558e-17	True	2.9257604552222086e-14	2.6427761219327117e-16	True	5.019657567868133e-14	6.567399374886127e-16	True	5.875574091455326e-14	1.5361024729448471e-15	True	1.2977874666222582e-14	4.079533108480891e-16	True	2.9337758765412883e-14	9.1553648929797e-16	True	7.644650205579422e-14	1.2987189700760834e-15	True	6.298719900964406e-14	1.120184705648135e-15	True	1.2232572412355433e-15	7.247611143696426e-17	True	2.164609839436057e-14	5.265686269461174e-16	True	5.359213472254825e-15	1.4711636096155424e-16	True	4.470848767929523e-14	3.4742004629186956e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012fr/SN2012fr_2012-11-07_06-34-35_ESO-NTT_EFOSC2-NTT_None.dat	56238.27	0.0	0.0	False	9.320175624440241e-14	1.401925479921206e-15	True	9.632466793690269e-15	7.430572436855338e-17	True	3.1163112685591394e-14	4.553921043726278e-16	True	5.3781567290271323e-14	8.322574667041473e-16	True	6.185882314201439e-14	1.6839302000389367e-15	True	1.337937243127123e-14	4.560430588091317e-16	True	3.0396595240310296e-14	9.086133961478977e-16	True	8.291612552908159e-14	1.3919129592568893e-15	True	6.781926481632998e-14	1.2359550816520745e-15	True	1.4299170169406814e-15	7.517934500158556e-17	True	2.3566012212128073e-14	5.592300372607771e-16	True	5.943785123531468e-15	1.4615158717130306e-16	True	4.899812830331679e-14	3.396293153158205e-16	True
